upc,product_description,commodity,brand,product_size
3000005350,A J BTRMLK COMP PNCK MIX,pancake mixes,Aunt Jemima,1 LB
3000005070,A/JEM COMPLETE PANCAKE MI,pancake mixes,Aunt Jemima,32    OZ
3000005300,AJ BUTTERMILK PANCAKE MIX,pancake mixes,Aunt Jemima,32 OZ
3000005040,AUNT JEM ORIGINAL PANCAKE MIX,pancake mixes,Aunt Jemima,2 LB
1600047090,BISQUICK SHK PR BTMK PNK,pancake mixes,Bisquick,7 OZ
1760004476,BRUCES SWT POT PANCK MX,pancake mixes,Bruce's,1.5 LB
7582281003,CLASSIQUE FARE BELGN WAFF MIX,pancake mixes,Classique,16 OZ
1112600720,FASTSHAKE BLUEBERRY,pancake mixes,Fastshake,5 OZ
7151802028,HM MUTLIGRN W/FLXSD PNCK,pancake mixes,Hodgson Mills,16 OZ
7151802024,HODGSON  BUCKWHEAT PAN,pancake mixes,Hodgson Mills,32 OZ
7151802022,HODGSON BUTERMILK PANC,pancake mixes,Hodgson Mills,2 LB
1800028066,H J BUTTERMILK PANCK MIX,pancake mixes,Hungry Jack,NA
1800028065,H J PANCAKE EX LITE MIX,pancake mixes,Hungry Jack,32 OZ
1800028063,H J PANCAKE ORIGINAL MIX,pancake mixes,Hungry Jack,32 OZ
1800028064,H J PANCK BTRMLK COMP MIX,pancake mixes,Hungry Jack,NA
1800028067,H J PANCK MX EX LITE COMP,pancake mixes,Hungry Jack,NA
1800028036,HNGRY JK BLUEBRY COMP 4PK,pancake mixes,Hungry Jack,16 OZ
1800028035,HNGRY JK COMP BTRMLK 4PK,pancake mixes,Hungry Jack,16 OZ
4144900186,KRUSTEAZ BELGIAN WAFFLE,pancake mixes,Krusteaz,28 OZ
4144900128,KRUSTEAZ BLUEBRY PANCAKE,pancake mixes,Krusteaz,28 OZ
4144900110,KRUSTEAZ COMP BM PANCAKE,pancake mixes,Krusteaz,32 OZ
1330052501,M W FLAPSTAX BTRMLK-POUCH,pancake mixes,M W Flapstax,5.5 OZ
7468300007,MGF BLUEBERRY PANCAKE MIX,pancake mixes,Maple Grove,24 OUNCE
7468300009,MGF HNY BUCKWHEAT PNCK MX,pancake mixes,Maple Grove,24 OZ
7468300008,MPL GRV PANCKE MIX BTR/HN,pancake mixes,Maple Grove,24    OZ
4420930112,MRS BUTTERWORTH PANCAKE M,pancake mixes,Mrs Butterworth,32 OZ
7754482500,OSEM BISSLI FALAFEL,pancake mixes,Osem Bissli,2.5 OZ
4146031120,PIONEER NF BTRMLK PNCK MX,pancake mixes,Pioneer,32 OZ
9999985260,PRIVATE LABEL COMPLETE PANCAKE MIX,pancake mixes,Private Label,32 OZ
9999985261,PRIVATE LABEL COMPLETE PANCAKE MIX,pancake mixes,Private Label,2 LB
9999984346,PRIVATE LABEL PANCAKE & WAFFLE MIX,pancake mixes,Private Label Premium,2 LB
3250046100,WH LILY BM PANCAKE MIX,pancake mixes,White Lily,5.5 OZ
3250041100,WHT LILY BLUBRY PNCK MIX,pancake mixes,White Lily,6 1/2 OZ
8147591234,AL DENTE 3 PEPPER FETTUCI,pasta,Al Dente,12 OZ
8147557893,AL DENTE BASIL FETTUCINE,pasta,Al Dente,12 OZ
8147532456,AL DENTE EGG FETTUCINI,pasta,Al Dente,12 OZ
8147582014,AL DENTE FIESTA FETTUCINE,pasta,Al Dente,12 OZ
8147599847,AL DENTE GARLIC PARSLEY,pasta,Al Dente,12 OZ
8147572543,AL DENTE LEMON CHIVE FETT,pasta,Al Dente,12 OZ
8147571687,AL DENTE RED CHILI PEPPER FETT,pasta,Al Dente,12 OZ
8147590123,AL DENTE SESAME LINGUINI,pasta,Al Dente,12 OZ
8147534789,AL DENTE SPINACH FETTUCINI,pasta,Al Dente,12 OZ
8147546297,AL DENTE TOMATO FETTICINE,pasta,Al Dente,12 OZ
7107200324,ALESSI PASTA CASARECCI,pasta,Alessi,16 OZ
7107200320,ALESSI PASTA ORECCHIETTE,pasta,Alessi,16 OZ
7107201136,ALESSI RASP WHT BALSAMIC,pasta,Alessi,8.5 OZ
7680850643,(S)BARILLA GEMELLI PASTA,pasta,Barilla,16 OZ
7680850294,(S)BARILLA RIGATONI PASTA,pasta,Barilla,16 OZ
7680852298,BARILLA 3 CHS TORTELLINI,pasta,Barilla,13 OZ
7680850106,BARILLA ANGEL HAIR,pasta,Barilla,16 OZ
7680852290,BARILLA BUCATINI RIGATI,pasta,Barilla,14 OZ
7680851433,BARILLA CAMPANELLE PASTA,pasta,Barilla,16 OUNCE
7680852299,BARILLA CHS/SPIN TORTLNI,pasta,Barilla,13OZ FMLY
7680850112,BARILLA CONCHIGLIE PSTA,pasta,Barilla,16    OZ
7680851613,BARILLA ELBOW PASTA,pasta,Barilla,16    OZ
7680850108,BARILLA FARFALLE PASTA,pasta,Barilla,16 OZ
7680850738,BARILLA FETTUCCINE PSTA,pasta,Barilla,16 OZ
7680852289,BARILLA FETTUCCINE RIGATE,pasta,Barilla,14 OZ
7680852009,BARILLA FIORI SHORT CUT,pasta,Barilla,16OZ
7680851708,BARILLA JUMBO SHELS 12 OZ,pasta,Barilla,CUST REQST
7680851558,BARILLA LASAGNA OVEN READ,pasta,Barilla,9    OZ
7680828017,BARILLA LINGUINI PASTA,pasta,Barilla,16 OZ
7680851709,BARILLA MANICOTTI,pasta,Barilla,8    OZ
7680851798,BARILLA MEDIUM SHELLS,pasta,Barilla,16 OZ
7680850295,BARILLA MINI PENNE PASTA,pasta,Barilla,16 OZ
7680828083,BARILLA MINI RIGATONI {A},pasta,Barilla,16 OZ
7680828071,BARILLA MOSTACCIOLI,pasta,Barilla,16 OZ
7680851398,BARILLA ORZO PASTA,pasta,Barilla,16    OZ
7680828073,BARILLA PENNE RIGATE,pasta,Barilla,16 OZ
7680852007,BARILLA PIPETTE PASTA,pasta,Barilla,12 OZ
7680851699,BARILLA PORCINI MUSHRM TO,pasta,Barilla,8 OZ
7680851700,BARILLA RICOTTA ASPARAGUS,pasta,Barilla,8 OZ
7680851697,BARILLA RICOTTA SPINACH T,pasta,Barilla,8 OZ
7680828098,BARILLA ROTINI,pasta,Barilla,16 OZ
7680852291,BARILLA SHORT CUTS TUBINI,pasta,Barilla,16 OZ
7680828008,BARILLA SPAGHETTI PASTA,pasta,Barilla,16    OZ
7680852180,BARILLA SPAGHETTI RIGATI,pasta,Barilla,15 OZ
7680828009,BARILLA THIN SPAGHETTI PS,pasta,Barilla,16    OZ
7680851698,BARILLA TORT THREE CHEESE,pasta,Barilla,8 OZ
7680851829,BARILLA TRI-COLOR ROTINI,pasta,Barilla,12 OZ
4767428776,CASTELNA FOGLIE D AUTUNNO,pasta,Castelna,17.6 OZ
4767441131,CASTELNA TRECCE DEL ORTO,pasta,Castelna,17.6 OZ
3915321265,COLAVITA CAPELLINI NIDI,pasta,Colavita,16 OZ
3915321268,COLAVITA FETUCCINE NEST,pasta,Colavita,16 OZ
3915331267,COLAVITA SPINACH NEST,pasta,Colavita,16 OZ
1510000167,CREAMETTE ANGEL HAIR PSTA,pasta,Creamette,16 OZ
1510000327,CREAMETTE BOW TIES,pasta,Creamette,12 OZ
1510000011,CREAMETTE ELBO MACARONI,pasta,Creamette,32 OZ
1510000007,CREAMETTE ELBOW MACARONI,pasta,Creamette,N     1 LB
1510000401,CREAMETTE FETTUCCINE,pasta,Creamette,12 OZ
1510000003,CREAMETTE JUMBO ELBOW MAC,pasta,Creamette,16 OZ
1510000072,CREAMETTE KDS CLB TWISTS,pasta,Creamette,16 OZ
1510000031,CREAMETTE LASAGNA MACR,pasta,Creamette,16  Z
1510000049,CREAMETTE MANICOTTI,pasta,Creamette,8 OZ
1510000236,CREAMETTE PENNE RIGATE,pasta,Creamette,16 OZ
1510000256,CREAMETTE ROTINI MACARONI,pasta,Creamette,16  OZ
1510000014,CREAMETTE ROTINI RAINBOW,pasta,Creamette,1 LB
1510000073,CREAMETTE SHELL MEDIUM,pasta,Creamette,1 LB
1510000043,CREAMETTE SPAGHETTI,pasta,Creamette,16 OZ
1510000162,CREAMETTE SPAGHETTI,pasta,Creamette,2 LB
1510000163,CREAMETTE SPAGHETTI THIN,pasta,Creamette,16OZ
1510000048,CREAMETTE THIN VERMICELLI,pasta,Creamette,32 OZ
1510000013,CREAMETTE VERMICELLI,pasta,Creamette,N     1 LB
1510000027,CREAMETTE X-WIDE NOODLE,pasta,Creamette,16  OZ
1510000026,CRMET EGG NOODLES-WIDE,pasta,Creamette,1 LB
1510000001,CRMET ELBW MACARONI SMALL,pasta,Creamette,7 OZ
1510000017,CRMET LONG SPAG,pasta,Creamette,7 OZ
1510000004,CRMET SHELLS SMALL,pasta,Creamette,7 OZ
8798480301,CUCINA V G POTATO/SPINACH,pasta,Cucina,17.5 OZ
7067000736,DA VINCI CANNELONI MANICOTTI,pasta,DaVinci,8 OZ
7067000735,DA VINCI FARFALLE MEDIA B,pasta,DaVinci,1 LB
7067000722,DA VINCI FETTUCCINE,pasta,DaVinci,1 LB
