"video_id","category_id","views","likes","dislikes","comment_count","daily_trending_appearances"
"FlsCjmMhFmw",24,137843120,3014479,1602383,817582,7
"VYOjWnS4cMY",10,98938809,3037318,161813,319502,8
"6ZfuNTqbHE8",24,89930713,2606665,53011,347982,8
"7C2z4GqqS5E",10,80738011,5053338,165854,1114800,5
"_I_D_8Z4sJE",10,61163906,629164,23851,26762,5
"TyHvyGVs42U",10,56843038,1904853,87444,108084,5
"u9Mv98Gr5pY",24,53071887,1243479,44414,134673,7
"BhIEIO0vaBE",22,51243149,0,0,0,6
"aJOTlE1K90k",10,47778378,2178332,36133,128810,7
"xpVfcZ0ZcFM",10,47362934,2469057,31843,158262,6
"QwievZ1Tx-8",24,46707200,1513428,30566,188160,7
"ffxKSjUwKdU",10,45998071,2195120,78228,192685,6
"-BQJo3vK8O8",10,44725448,575878,48583,28152,5
"xTlNMmZKwpA",10,43964411,1377137,72506,83178,6
"tCXGJQYZ9JA",10,43738208,1658758,94043,148548,7
"LsoLEjrDogU",10,43067983,1717177,61567,123379,6
"dfnCAmr569k",10,42019590,1804377,100033,146917,6
"DPxL7dO5XPc",10,40671623,1696151,147891,187580,6
"rRr1qiJRsXk",24,39207474,742223,28091,45614,5
"2Vv-BfVoq4g",10,39082222,1721384,23137,90352,2
"wfWkmURBNv8",10,37597115,769384,46792,40118,1
"vn9mMeWcgoM",24,36971093,544117,27450,78618,6
"yDiXQl7grPQ",28,36778884,521873,29776,162654,7
"_9YMpuLDnwo",26,35696481,260516,48163,21468,6
"J6-8DQALGt4",24,34448035,100710,2822,6986,4
"UceaB4D0jpo",10,34275219,1174338,34499,96947,8
"rRzxEiBLQCA",10,33896316,899123,84384,147922,5
"kLpH1nSLJSs",10,32880238,1497621,49372,90246,4
"817P8W8-mGE",10,32777142,965597,21082,49556,6
"1J76wN0TPI4",24,32582944,711815,26632,53025,5
"J2HytHu5VBI",22,31505838,1967910,96815,311525,5
"F2lN25IayH8",24,30952184,492631,28097,39934,4
"32sYGCOYJUM",10,29662624,827026,135931,445251,3
"xmU0s2QtaEY",10,29626879,582873,59214,58348,2
"TIE92mUvSsw",1,27696924,468472,60025,48740,3
"kTlv5_Bs8aw",10,27670973,2542863,41122,519092,4
"YBpdL9hSac4",1,27621052,424047,16211,46909,7
"D86RtevtfrA",1,27260320,532660,12587,28161,6
"xWi8nDUjHGA",10,27070757,566730,39448,53279,4
"q2gICJFG6uw",10,26709525,308146,73959,30342,4
"ZJDMWVZta3M",1,26072307,421289,11173,46619,7
"l_lblj8Cq0o",10,25184395,553602,29570,36309,8
"VY1eFxgRR-k",10,25108817,1202480,41429,67453,5
"Mgfe5tIwOj0",10,24609441,1210593,31214,53610,6
"n1WpP7iowLc",10,24578152,891283,51978,125444,4
"xBht9TG7ySw",24,24523092,525575,162731,88851,5
"8qs2dZO6wcc",10,24310254,292227,10274,12429,4
"5GRyr0noXrw",17,24117244,475289,47090,41840,6
"liczsmUSMA4",10,24103517,777582,63601,69932,3
"-K9ujx8vO_A",24,24065621,404788,22557,26631,5
"FCfP7v9x8HI",10,23869973,163626,10630,7144,1
"zEf423kYfqk",10,23645351,692631,59800,45901,4
"eiDiKwbGfIY",10,23634920,984987,16279,39851,6
"iWZmdoY1aTE",10,23543061,1095529,23887,58948,5
"SM1w9PEQOE8",10,23445751,1176798,23511,71679,6
"VRJmcxCrAOA",17,23417389,926660,13003,46136,5
"pnMQLrS5sTE",10,23345196,618776,39821,48371,4
"X8sSXU-J8fI",10,23232299,560449,28201,27607,6
"fGqdIPer-ms",10,22588011,780820,27085,55317,7
"oWjxSkJpxFU",29,22387656,1919980,461660,625010,5
"dUaCEs3HfdI",10,21768013,276853,31337,22895,2
"pVxOVlm_lE8",24,21359741,330087,10115,28706,6
"dZ0fwJojhrs",10,20956090,488364,22158,25744,6
"zkG4Xpz6t68",10,20814284,610575,116171,79735,5
"g4Hbz2jLxvQ",24,20771856,440494,20324,44778,6
"wfWIs2gFTAM",10,20324769,1013533,21269,63248,6
"gu9_m0vm7fM",10,20220428,507793,57549,41162,4
"9v_rtaye2yY",10,20136000,514356,27521,57566,7
"wbSwFU6tY1c",28,19994026,379285,12230,37523,7
"V5cOvyDpWfM",17,19890243,53817,164693,60921,7
"J-dv_DcDD_A",10,19859201,1006424,23157,77820,4
"Wpm07-BGJnE",10,19824140,663380,70750,81939,5
"4dCJgNzgs3c",24,19757704,71072,7113,4213,4
"sGIm0-dQd8M",10,19687431,467428,15859,30151,4
"j-I0Uxbh1uY",10,19644230,390494,63472,39937,4
"64UX1npgRkI",10,19472216,309752,10303,21731,5
"7vracgLyJwI",24,19234147,182283,15325,11852,4
"BQ31l1gPGKM",10,19177871,356302,12457,19735,3
"IZODr96ZRCc",24,19063679,208485,27477,14136,4
"naW9U8MiUY0",24,19007336,422574,10163,43426,5
"S9KxqRUcnCU",17,18859050,774174,13302,33708,5
"SAcpESN_Fk4",10,18658794,540500,17496,41823,4
"p8npDG2ulKQ",10,18574625,2407419,21907,340125,3
"5__KOPGuLDE",24,18510658,48814,16501,6316,2
"3h4thS-Hcrk",10,18447084,232780,7178,10779,4
"3BXDsVD6O10",10,18250437,755912,16019,47179,6
"lhnmVSB-Rxc",10,18246279,565895,82564,93253,5
"M4ZoCHID9GI",10,18200080,700060,12708,35725,5
"NooW_RbfdWI",24,18087776,240891,6542,18823,6
"xZNBFcwd7zc",1,17855628,353807,5971,18388,6
"fAIX12F6958",1,17741854,211522,15153,43359,4
"WS7f5xpGYn8",10,17478642,628016,124555,68620,5
"MuPL-PSMX0Q",17,17459747,461644,21280,40904,6
"RSRzIrOqaN4",10,17208914,380861,14969,17373,4
"aNwWdF8qq-M",10,17050925,276266,29984,20198,2
"9jI-z9QN6g8",10,16995160,617979,17298,22674,1
"z5WrgDzNIZ0",10,16986033,588127,56285,93196,5
"Wm_vSSlVsV4",1,16956791,449649,57838,26941,5
"8-mloCL49vs",10,16818378,212091,10640,10674,1
"UUkn-enk2RU",24,16773458,419182,8502,30371,5
"au2n7VVGv_c",10,16734027,625290,12451,26803,6
"E5yFcdPAGv0",10,16726752,769672,24651,70391,7
"7X_WvGAhMlQ",28,16627543,69478,10985,59472,7
"i5qOzqD9Rms",1,16578514,306608,9760,27571,6
"0B7athiVJBA",10,16482187,165253,19034,12967,2
"DIBw9dSVKdU",1,16462484,272644,12087,49894,6
"vg0ZfeszGrU",10,16256855,321798,14006,20453,6
"1xq5jm0-xQc",24,16188635,87099,25243,10456,3
"uxbQATBAXf8",1,15960127,374827,3823,9059,3
"zMxIW7uwDGg",1,15940901,149364,10549,12849,3
"g4HDfqEWf6Y",10,15871206,301766,13070,12867,2
"Ha3WCbl7S7s",17,15860214,131887,9601,6563,1
"OK3GJ0WIQ8s",10,15777624,2392594,21872,437036,2
"EBt_88nxG4c",10,15682850,444729,18376,31578,6
"6OcOO1k-vGE",10,15643726,369976,15821,22464,5
"FsnYzwQm3gM",10,15484992,104253,7470,7543,1
"Sl9npEDYeLk",24,15462891,455530,19488,43986,3
"u5lxsBjCGc0",10,15343697,129211,4942,4106,5
"lkfpqGWzHCE",28,15316016,37245,30746,0,1
"khPLWaBioOs",24,15313469,953734,129860,162754,5
"e8XoJsBCi2k",10,15210790,302601,22267,16715,5
"CX11yw6YL1w",10,15174418,362902,9375,25669,6
"FepIkIILumA",17,15125389,454599,21411,32803,5
"coOKvrsmQiI",24,15104666,143947,12709,25593,6
"JwFgnGqMTws",17,15103643,166131,6584,16679,4
"rzgw0XldTC0",10,15065474,399550,12676,16385,3
"oBAlEGWDLXQ",10,15005646,66365,2398,2140,1
"oJ2faqXlU1s",24,14935646,140599,22979,11758,3
"sS0LCjOiIhc",10,14756279,858713,8023,150036,3
