"video_id","category_id","views","likes","dislikes","comment_count","daily_trending_appearances"
"FlsCjmMhFmw",24,113876217,2811217,1470386,787174,5
"6ZfuNTqbHE8",24,80360459,2513103,49170,335920,5
"7C2z4GqqS5E",10,73463137,4924056,156026,1084435,4
"VYOjWnS4cMY",10,73432600,2478908,124291,263984,5
"_I_D_8Z4sJE",10,50896717,550476,20865,23521,4
"u9Mv98Gr5pY",24,49185287,1204863,42254,130891,5
"BhIEIO0vaBE",22,48635732,0,0,0,5
"-BQJo3vK8O8",10,44725448,575878,48583,28152,5
"QwievZ1Tx-8",24,42862117,1465000,28312,182514,5
"ffxKSjUwKdU",10,39530559,2068564,72572,185944,5
"TyHvyGVs42U",10,38646917,1600402,68558,91404,2
"LsoLEjrDogU",10,37728802,1629946,56305,116255,4
"tCXGJQYZ9JA",10,35218973,1506790,84074,140396,4
"dfnCAmr569k",10,34708457,1681448,91764,141237,4
"xpVfcZ0ZcFM",10,33591858,2152153,24525,140517,5
"2Vv-BfVoq4g",10,33523622,1634127,21082,85067,1
"yDiXQl7grPQ",28,32844195,485677,27008,152136,5
"vn9mMeWcgoM",24,32814882,523448,26141,66601,4
"rRr1qiJRsXk",24,32679759,689920,23885,42689,3
"xTlNMmZKwpA",10,32523416,1219780,61458,76612,4
"aJOTlE1K90k",10,32513514,1780877,27830,109533,5
"DPxL7dO5XPc",10,28997182,1461132,112987,161259,4
"TIE92mUvSsw",1,27696924,468472,60025,48740,3
"32sYGCOYJUM",10,27470728,753626,118983,401470,2
"y0PMqR7IbAQ",10,26137768,290314,8399,7180,1
"J2HytHu5VBI",22,25814105,1757299,83381,288888,3
"D86RtevtfrA",1,25228211,512740,11725,29277,4
"kTlv5_Bs8aw",10,24628712,2454901,37133,502471,3
"9TUBf6l7FBg",10,24004779,0,0,3,3
"1J76wN0TPI4",24,23758250,587326,18799,43728,2
"YBpdL9hSac4",1,23739439,409788,14340,45434,5
"liczsmUSMA4",10,21836024,700175,55803,63007,2
"oWjxSkJpxFU",29,21104436,1867615,435190,607646,4
"84LBjXaeKk4",24,20929664,184529,361763,91466,4
"VRJmcxCrAOA",17,20761480,871933,11595,43026,4
"-K9ujx8vO_A",24,20620951,350847,18209,21430,2
"5GRyr0noXrw",17,20616664,420038,41438,39256,4
"iWZmdoY1aTE",10,20087204,1024328,22325,56615,4
"ZJDMWVZta3M",1,19999878,395711,8694,46761,5
"eiDiKwbGfIY",10,19963184,940443,14917,38884,5
"VY1eFxgRR-k",10,19687255,1101527,36327,64156,4
"UceaB4D0jpo",10,19654814,899112,24883,80612,4
"817P8W8-mGE",10,19316205,842330,15673,44813,3
"zEf423kYfqk",10,19259963,623786,53529,42784,3
"wbSwFU6tY1c",28,18898278,369244,11551,36005,5
"pVxOVlm_lE8",24,18769906,321288,8645,28288,5
"Mgfe5tIwOj0",10,18483333,1057010,26060,48415,4
