"video_id","category_id","views","likes","dislikes","comment_count","daily_trending_appearances"
"FlsCjmMhFmw",24,100911567,2656682,1353661,682890,4
"7C2z4GqqS5E",10,65396157,4750254,141966,1040912,3
"VYOjWnS4cMY",10,60776509,2183745,104379,232723,4
"TyHvyGVs42U",10,47078714,1763400,78228,101453,4
"BhIEIO0vaBE",22,44818108,0,0,0,4
"_I_D_8Z4sJE",10,40567774,448371,16682,19908,3
"QwievZ1Tx-8",24,39980116,1420090,26137,177598,4
"LsoLEjrDogU",10,37728802,1629948,56305,116255,5
"dfnCAmr569k",10,34708457,1681449,91764,141243,4
"2Vv-BfVoq4g",10,33523622,1634134,21082,85067,1
"xTlNMmZKwpA",10,32523416,1219780,61458,76612,4
"aJOTlE1K90k",10,32513514,1780890,27830,109533,5
"ffxKSjUwKdU",10,32331284,1890564,64058,176926,4
"AhQcNVyndSM",10,31791115,299378,11951,7693,1
"tCXGJQYZ9JA",10,29923522,1395755,76072,133691,4
"yDiXQl7grPQ",28,29403688,452729,24543,141646,4
"DPxL7dO5XPc",10,28997182,1461135,112987,161259,4
"xpVfcZ0ZcFM",10,28866802,1997355,21453,131284,4
"rRr1qiJRsXk",24,28572753,646407,21140,40610,2
"u9Mv98Gr5pY",24,27973210,850373,26543,96767,2
"-BQJo3vK8O8",10,24907224,420321,32198,22285,2
"9TUBf6l7FBg",10,24004779,0,0,3,3
"FCfP7v9x8HI",10,23869973,163626,10630,7144,2
"D86RtevtfrA",1,22762717,485947,10383,28082,2
"liczsmUSMA4",10,21836024,700178,55803,63007,2
"1J76wN0TPI4",24,21739537,549875,16991,41068,1
"84LBjXaeKk4",24,20929664,184529,361763,91466,4
"J2HytHu5VBI",22,20928215,1535643,71750,264405,2
"VRJmcxCrAOA",17,20761480,871933,11595,43026,4
"YBpdL9hSac4",1,20680316,394717,12869,44215,4
"kTlv5_Bs8aw",10,20565795,2320652,33226,477215,2
"817P8W8-mGE",10,19316205,842332,15673,44813,3
"zEf423kYfqk",10,19259963,623787,53529,42784,3
"oWjxSkJpxFU",29,19092511,1782258,398361,611327,3
"lhnmVSB-Rxc",10,18246279,565896,82564,93253,5
"rRzxEiBLQCA",10,18195959,754797,65327,127311,2
"wbSwFU6tY1c",28,18026231,358134,10893,35302,4
"5GRyr0noXrw",17,17613868,373735,36817,36710,3
"n1WpP7iowLc",10,17158579,787425,43420,125882,1
"iWZmdoY1aTE",10,16809675,945894,20400,53440,3
"pVxOVlm_lE8",24,16141230,309557,7190,27714,4
"VY1eFxgRR-k",10,16106570,1007250,32071,60947,3
"TIE92mUvSsw",1,15969920,308382,36675,33624,1
"zkG4Xpz6t68",10,15924122,542011,98637,67599,3
"p8npDG2ulKQ",10,15875379,2285431,19400,326719,2
"gu9_m0vm7fM",10,15834441,446958,49803,38189,3
"OK3GJ0WIQ8s",10,15777624,2392595,21872,437036,2
"BQ31l1gPGKM",10,15474680,320810,10778,17685,2
"SM1w9PEQOE8",10,15463329,999798,18452,53752,3
"Sl9npEDYeLk",24,15460236,448784,18364,42944,2
"S9KxqRUcnCU",17,15295839,701925,11126,30710,3
"UceaB4D0jpo",10,15162291,789844,21325,74797,3
"Wpm07-BGJnE",10,15135153,587824,60028,74461,3
"oBAlEGWDLXQ",10,15005646,66365,2398,2140,1
"eiDiKwbGfIY",10,14815407,829223,12001,31299,3
"V5cOvyDpWfM",17,14647590,32892,117128,44404,2
"UUkn-enk2RU",24,14597228,398882,7600,29098,3
"g4Hbz2jLxvQ",24,14528223,389821,16256,40586,3
"Mgfe5tIwOj0",10,14352100,915002,22034,44394,3
"fGqdIPer-ms",10,14040968,627664,19975,48542,4
"JwFgnGqMTws",17,14019308,157933,6122,15892,3
"xBht9TG7ySw",24,13859243,398228,79759,66420,2
"fAIX12F6958",1,13816180,179824,12708,38572,2
"Wm_vSSlVsV4",1,13811768,408531,52292,24225,3
"MuPL-PSMX0Q",17,13740772,421047,17977,37341,3
