"video_id","category_id","views","likes","dislikes","comment_count","daily_trending_appearances"
"_I_D_8Z4sJE",10,424538912,2818771,149275,99380,36
"9jI-z9QN6g8",10,337621571,2581961,166549,113564,33
"kLpH1nSLJSs",10,328860380,3823879,215530,225216,36
"wfWkmURBNv8",10,288811992,1618180,151147,67506,29
"VYOjWnS4cMY",10,259721696,5444541,379862,553371,36
"xpVfcZ0ZcFM",10,258164991,4737873,117198,301756,32
"ffxKSjUwKdU",10,208876887,3394437,150086,259613,35
"zEf423kYfqk",10,200862743,1668418,142569,97826,21
"FlsCjmMhFmw",24,169884583,3312868,1753274,845233,18
"sGIm0-dQd8M",10,167456025,1633407,74005,65395,21
"TyHvyGVs42U",10,143408235,2686169,137938,144217,1
"2Vv-BfVoq4g",10,138578860,2584773,49428,113639,14
"M4ZoCHID9GI",10,138535053,1493942,44048,57119,33
"Ck4xHocysLw",10,137081637,824296,44012,27109,31
"7C2z4GqqS5E",10,123010920,5613827,206892,1228655,14
"tCXGJQYZ9JA",10,117270304,2161260,133428,175635,31
"U9BwWKXjVaI",10,106147032,1275948,52924,65066,31
"au2n7VVGv_c",10,105629911,1340938,41651,45784,30
"6ZfuNTqbHE8",24,100672931,2701353,56313,368739,15
"fGqdIPer-ms",10,100159686,1339372,67821,73838,31
"DkeiKbqa02g",10,99282704,1003879,46089,30620,19
"i0p1bmr0EmE",10,98250935,1461215,133068,274087,31
"JNkTNAknE4I",10,94344388,322360,25183,7941,28
"xTlNMmZKwpA",10,94254507,1816753,102474,101077,15
"WtE011iVx1Q",10,92838957,518759,22739,19482,22
"sD9_l3oDOag",10,92771184,579534,13946,18573,21
"VTzD0jNdrmo",10,90788918,518612,37336,16793,25
"LsoLEjrDogU",10,90598955,2248693,93089,151099,13
"gu9_m0vm7fM",10,90111676,980263,113549,65517,14
"dfnCAmr569k",10,87043012,2153475,125686,161972,14
"iWZmdoY1aTE",10,82158039,1494346,37963,70756,36
"aJOTlE1K90k",10,82032462,2677256,48906,150549,12
"36tggrpRoTI",10,77400236,1548451,22106,76066,36
"817P8W8-mGE",10,76816483,1221200,39201,51421,14
"z5WrgDzNIZ0",10,76687716,1059582,119267,141358,31
"zkG4Xpz6t68",10,76024264,862536,155954,93053,29
"Mgfe5tIwOj0",10,75532895,1684437,50122,67130,14
"vjI4Alon-3Q",10,74630710,915895,69808,56494,35
