"video_id","category_id","views","likes","dislikes","comment_count","daily_trending_appearances"
"FlsCjmMhFmw",24,125432237,2912710,1545017,807558,6
"6ZfuNTqbHE8",24,89930713,2606663,53011,347982,8
"u9Mv98Gr5pY",24,53822757,1250535,44796,135405,12
"QwievZ1Tx-8",24,45064699,1494997,29812,186005,11
"rRr1qiJRsXk",24,44171797,780895,30791,47829,16
"tCXGJQYZ9JA",10,43738208,1658756,94043,148548,7
"dfnCAmr569k",10,42019590,1804377,100033,146917,6
"xmU0s2QtaEY",10,40953758,679940,69161,65564,5
"2Vv-BfVoq4g",10,39082222,1721384,23137,90352,2
"ePO5M5DE01I",1,38664360,865914,63908,103907,3
"vn9mMeWcgoM",24,36971093,544117,27450,78618,6
"F2lN25IayH8",24,36957773,530146,30924,42087,8
"1J76wN0TPI4",24,36224215,744304,28571,75080,14
"zMxIW7uwDGg",1,35702242,230576,21904,4858,9
"lkfpqGWzHCE",28,35276532,45148,36352,3348,6
"xWi8nDUjHGA",10,34631260,645921,45039,58459,7
"dUaCEs3HfdI",10,30340611,432533,42767,20964,10
"ZJDMWVZta3M",1,29964922,431134,12821,47119,9
"q2gICJFG6uw",10,29503026,320346,80059,31872,7
"xBht9TG7ySw",24,29437104,564399,182589,95395,11
"#NAME?",24,28080774,450360,26383,29837,511
"aNwWdF8qq-M",10,27893636,397141,43165,27596,12
"TIE92mUvSsw",1,27696924,468469,60026,48740,6
"YBpdL9hSac4",1,25965876,418707,15419,46424,6
"j-I0Uxbh1uY",10,25952473,455361,71793,44916,10
"D86RtevtfrA",1,25228211,512740,11725,29277,4
"dZ0fwJojhrs",10,24248933,522839,23990,27454,6
"pVxOVlm_lE8",24,23587674,335916,11248,29129,8
"iWZmdoY1aTE",10,23543061,1095526,23886,58948,9
"Qvd43XKY-f0",10,23476984,315111,15695,21198,7
"pnMQLrS5sTE",10,23345196,618776,39821,48371,8
"J-dv_DcDD_A",10,22769424,1059309,24724,79913,9
"g4HDfqEWf6Y",10,21982564,406579,18848,16546,11
"SAcpESN_Fk4",10,21176709,574511,18893,43666,3
"g4Hbz2jLxvQ",24,20771856,440494,20324,44778,11
"VRJmcxCrAOA",17,20761480,871933,11595,43026,4
"naW9U8MiUY0",24,20030814,433044,10649,44330,11
"VY1eFxgRR-k",10,19687255,1101522,36325,64156,7
"NooW_RbfdWI",24,19617103,246215,6745,19430,8
"64UX1npgRkI",10,19472216,309752,10303,21731,10
