"video_id","category_id","views","likes","dislikes","comment_count","daily_trending_appearances"
"7C2z4GqqS5E",10,62796390,4470923,119053,905925,4
"u9Mv98Gr5pY",24,39128403,1077732,35764,119671,2
"QwievZ1Tx-8",24,30180849,1242239,16903,158047,3
"32sYGCOYJUM",10,27470728,753626,118983,401470,3
"tCXGJQYZ9JA",10,24262331,1249414,64943,121243,4
"9TUBf6l7FBg",10,24004779,0,0,3,5
"rRr1qiJRsXk",24,18639195,511791,15607,32435,1
"TIE92mUvSsw",1,15969920,308382,36675,33624,1
"p8npDG2ulKQ",10,15875379,2285436,19400,326719,3
"ffxKSjUwKdU",10,15873773,1386673,40715,141624,2
"yDiXQl7grPQ",28,15006579,278752,13601,89194,2
"wbSwFU6tY1c",28,14816949,300313,7802,30313,4
"VYOjWnS4cMY",10,14171087,801888,25829,81156,2
"sS0LCjOiIhc",10,13537642,806488,7138,128441,2
"pVxOVlm_lE8",24,12908071,290084,5326,26863,4
"UUkn-enk2RU",24,12498976,373880,6350,27599,3
"qZHycHI3F1Q",17,10929365,508112,6326,47234,2
"OK3GJ0WIQ8s",10,10695328,2050596,14718,387397,1
"D86RtevtfrA",1,10454654,300723,3860,19134,2
"oSEeK9yDNQI",20,9674889,225275,17340,17130,2
"xpVfcZ0ZcFM",10,9528846,912446,6780,66263,1
"1FJD7jZqZEk",24,9136960,146817,5854,15660,2
"aJOTlE1K90k",10,8726087,740601,9907,54031,4
"DIBw9dSVKdU",1,8258921,200220,7453,38473,3
"5GRyr0noXrw",17,8053628,212330,17272,24274,1
"s2qyL1DCDcM",24,7715029,50370,2292,0,4
"fGqdIPer-ms",10,7662927,432901,11671,37619,2
"kX0vO4vlJuU",10,7518990,1573050,8113,180262,2
"xBht9TG7ySw",24,7159306,285946,43760,47275,2
"zEf423kYfqk",10,6978753,351702,25333,23914,1
"naW9U8MiUY0",24,6904550,203825,3525,23756,2
"cngUnh7EMKo",22,6813271,472528,5733,24481,2
"PgLpsot50E4",17,6638874,35246,4240,4823,2
"GpxCT36DxKg",24,6540492,58546,5892,10843,2
"2tDKp41nrw8",10,6416697,1290535,4358,113938,2
"aBr2kKAHN6M",28,6408303,165892,2331,3006,4
"RfWC4iDzpdI",17,6401650,61457,2598,7895,2
"XiHiW4N7-bo",1,5933727,90364,1902,6539,2
"iWZmdoY1aTE",10,5907608,564215,8938,35161,2
"g4Hbz2jLxvQ",24,5885017,223430,6881,24311,2
"D_6QmL6rExk",10,5884233,1437903,6390,134721,2
"a3WeECF6c_U",28,5846018,27321,9607,5039,2
"dzxFdtWmjto",24,5599238,128725,15751,20888,2
"FepIkIILumA",17,5589612,253746,9084,21111,1
"SX_ViT4Ra7k",10,5545934,219772,1834,17077,5
"Wpm07-BGJnE",10,5294561,347659,22529,42155,2
"OrnpSe4OChM",23,5221478,154960,3802,11225,1
"JspVs6ILBKE",15,5161631,18991,2232,9630,4
"n5LoVcVsiSQ",24,5072080,24495,12189,5614,1
"Wm_vSSlVsV4",1,5050121,268552,32154,14323,1
"Q97U8K_YlOo",10,5041020,100491,1237,1973,3
"bF_naHpa-T4",24,5021728,370074,5910,49744,2
"mDs-bSjpTuQ",24,5021474,21165,4059,4162,3
