"video_id","category_id","views","likes","dislikes","comment_count","daily_trending_appearances"
"FlsCjmMhFmw",24,113876217,2811223,1470388,787174,4
"6ZfuNTqbHE8",24,87450245,2584675,52176,341571,8
"7C2z4GqqS5E",10,87430865,5150839,172570,1142274,8
"VYOjWnS4cMY",10,73432600,2478908,124291,263984,6
"u9Mv98Gr5pY",24,49185287,1204868,42254,130891,4
"QwievZ1Tx-8",24,45064699,1494998,29812,186005,7
"i0p1bmr0EmE",10,42267579,1141242,99548,212019,2
"rRzxEiBLQCA",10,41088994,956939,91900,157216,7
"LsoLEjrDogU",10,37728802,1629948,56304,116255,4
"BhIEIO0vaBE",22,35832484,0,0,0,1
"tCXGJQYZ9JA",10,35218973,1506793,84075,140405,5
"dfnCAmr569k",10,34708457,1681449,91765,141243,4
"ffxKSjUwKdU",10,32331284,1890564,64058,176926,3
"kTlv5_Bs8aw",10,30583293,2611254,43899,529881,5
"vn9mMeWcgoM",24,29473013,502662,24722,64761,3
"32sYGCOYJUM",10,27470728,753626,118983,401470,2
"D86RtevtfrA",1,26670001,526577,12318,27886,6
"aJOTlE1K90k",10,25497666,1547857,23176,98464,4
"9TUBf6l7FBg",10,24004779,0,0,3,1
"yDiXQl7grPQ",28,23789688,393116,20520,122349,2
"YBpdL9hSac4",1,23739439,409790,14340,45434,6
"xWi8nDUjHGA",10,22943745,501041,35551,49745,3
"p8npDG2ulKQ",10,22612931,2533784,24698,353603,6
"pVxOVlm_lE8",24,21359741,330087,10115,28706,7
"ZJDMWVZta3M",1,19999878,395711,8694,46761,6
"J_CFBjAyPWE",10,19392316,1040563,27670,126148,8
"817P8W8-mGE",10,19316205,842332,15673,44813,2
"rRr1qiJRsXk",24,18639195,511785,15607,32435,1
"Mgfe5tIwOj0",10,18483417,1057014,26061,48415,4
"wbSwFU6tY1c",28,18026231,358134,10893,35302,4
"Wpm07-BGJnE",10,17678167,630646,66442,79249,4
"naW9U8MiUY0",24,17571728,405974,9285,41917,5
"VRJmcxCrAOA",17,17228602,784294,9287,41999,1
"n1WpP7iowLc",10,17158579,787426,43420,125882,1
"xpVfcZ0ZcFM",10,17059675,1431554,12850,100523,2
"UUkn-enk2RU",24,15906260,411623,8186,29943,4
"xZNBFcwd7zc",1,15338252,331796,5348,19622,2
"#NAME?",24,15008459,268754,13081,17208,443
"JwFgnGqMTws",17,14019308,157933,6122,15892,3
"sS0LCjOiIhc",10,13537642,806487,7138,128441,2
"bjn0nYBmS5g",26,13432309,20041,13717,3302,2
"oSEeK9yDNQI",20,13418844,258720,22805,19877,4
"6OcOO1k-vGE",10,12729423,335772,14040,20653,3
"NooW_RbfdWI",24,11883172,200008,5377,16722,2
"VY1eFxgRR-k",10,11881651,854247,25293,53600,1
"20bpjtCbCz0",1,11861050,308245,2825,24162,2
"c64I9HNpiOY",10,11810521,142237,9944,11907,2
"iWZmdoY1aTE",10,11618399,799277,16164,46912,2
"i5qOzqD9Rms",1,11249383,267578,6918,25307,3
"5sEaYB4rLFQ",24,11161971,218636,5211,18871,1
"g4Hbz2jLxvQ",24,10997686,336023,13271,35648,2
"qZHycHI3F1Q",17,10929365,508112,6326,47234,1
"OK3GJ0WIQ8s",10,10695328,2050584,14714,387397,1
"cSp1dM2Vj48",24,10693769,165082,8619,27265,4
"fRj34o4hN4I",28,10595011,203961,4871,35108,7
"2tDKp41nrw8",10,10339868,1484762,7678,128143,4
"M4ZoCHID9GI",10,10308019,545771,8939,29709,2
"kX0vO4vlJuU",10,10208424,1795555,10956,201589,2
"_XyBa8QsVQU",10,10175638,209597,7270,47717,4
"fAIX12F6958",1,9988608,151354,10274,33131,1
"XiHiW4N7-bo",1,9978294,129866,3645,9539,2
"wQ_POfToaVY",10,9921324,365990,23514,47459,5
"gA-NDZb29I4",10,9583159,190741,41413,23746,2
"ZgTKmRPWMq4",10,9443754,186414,5233,5728,1
"D_6QmL6rExk",10,9212604,1695108,9314,149760,3
"1FJD7jZqZEk",24,9136960,146816,5854,15660,2
"6S9c5nnDd_s",1,9052821,279716,5398,17652,4
"wb49-oV0F78",1,8937442,165513,2819,13060,1
"vZqdvu4xsl0",24,8767210,108140,3907,10232,4
"s_3ZgF5IhRg",24,8713798,50337,6103,12653,3
"dzxFdtWmjto",24,8694299,170487,20494,30067,2
"_BcYBFC6zfY",1,8521189,183637,10383,34631,3
"3BXDsVD6O10",10,8452171,525527,8928,37391,2
"9v_rtaye2yY",10,8404844,341151,16708,44432,2
"bvhBIsmzhwE",26,8354444,48656,7321,4741,1
"DIBw9dSVKdU",1,8258921,200217,7453,38473,2
"FkOt19CUC30",10,8141707,205531,9005,32513,2
"6uJf2IT2Zh8",10,8097332,505291,15356,55549,3
"dZ0fwJojhrs",10,8063475,299598,12533,13354,1
"KM38OFDKU20",22,7920497,38760,6339,32984,2
"WS7f5xpGYn8",10,7842032,418848,78835,44688,1
"qHkgE-bgjsA",22,7791264,6127,6037,748,2
"cajMxG9Y-Dk",10,7664810,198185,7654,4743,1
"fGqdIPer-ms",10,7662927,432899,11671,37619,2
"d1D1SJ-KqaQ",10,7645152,431159,8008,42238,3
"WyZz9muaKFc",26,7566372,55220,6577,2667,2
"CX11yw6YL1w",10,7562487,208887,5741,16520,1
"RfWC4iDzpdI",17,7430048,66291,2918,8106,2
"Q97U8K_YlOo",10,7341863,110966,1677,2069,3
"fUyU3lKzoio",28,7313302,177124,5840,31751,4
"7qg1WiCCn0A",26,7310563,13577,5886,699,1
"HO3pl7Wtn-w",24,7299268,46775,2999,6889,3
"fr4ZG7h5IRg",10,7252254,235812,18025,30871,5
"266EI7hdjFs",24,7080039,63371,5261,10668,4
"7MxiQ4v0EnE",10,7003332,145592,8358,9040,2
"DkeiKbqa02g",10,6988381,317384,10468,13782,3
"gmK27rbFTpk",28,6950397,11942,7366,1190,1
"L3ymBk6Vb04",23,6893446,282829,3444,10728,4
"kgaO45SyaO4",28,6802437,83513,3909,17281,3
"fgFFuzmK2xU",10,6745635,163791,3915,10564,3
"6CigQPn9jPc",10,6700107,42724,9820,2093,3
"ixxR3ZoqnF0",10,6674015,1003203,4600,84010,4
"PgLpsot50E4",17,6638874,35245,4240,4823,1
"kFgRKoLA1Us",22,6583116,6951,6427,0,1
"nQySbNGu4g0",10,6569383,994569,3159,64060,3
"ad_higXixRA",24,6499976,98425,5280,8270,2
"aBr2kKAHN6M",28,6408303,165890,2331,3006,1
"2NlNEj2mCIg",10,6387317,523353,9283,59490,3
"vUTI4bPdlgE",10,6366779,318264,11605,29455,2
"tNtcYIo6N04",10,6355780,305855,4489,17336,6
"mDs-bSjpTuQ",24,6325138,24182,5100,4725,3
"9Szts88zY4o",24,6292985,112721,8469,19960,1
"F4qfN5UeFvQ",10,6226619,327419,6973,21478,5
"_hMQe2U4c6w",10,6165010,263302,13616,18348,2
"k5TqNsr6YuQ",10,6126993,452741,9214,37299,5
"eiDiKwbGfIY",10,5988303,532897,5522,22643,1
"OjrijcVIGIk",24,5985130,130247,3578,16984,2
"JQbjS0_ZfJ0",10,5965522,343638,4931,25185,2
"skIfzl96Gc0",22,5905998,348162,4170,24160,3
"pmMjkMtpnTc",10,5884078,500008,16910,69711,3
"J7Pz1XvX7vY",24,5850855,59874,1838,3878,3
"305ryPvU6A8",28,5846111,71829,15899,0,3
"MFWF9dU5Zc0",24,5767584,71333,33959,24728,2
"leu-cTvMWTA",10,5739252,782033,9905,90039,3
"N25fWFNp5PY",22,5739223,26556,2395,3813,2
"Q38i6gmCLE0",24,5719430,31361,3509,7029,3
"mgd-dSDfb4E",24,5639375,124908,2508,10557,1
"U6kl5xqQofo",1,5563474,25833,4710,3724,2
"Hk5bgB77VHM",24,5561192,21911,3199,3831,3
"eACohWVwTOc",10,5500402,297310,10939,21420,3
"BidS_rcf7UU",10,5450008,292375,14872,29626,1
"qW1xbhW2PEE",17,5379220,51480,2667,16783,3
"kUZlz6VbMCg",25,5354566,36001,3100,0,2
"MDOtD8gBaAo",24,5324541,101649,2446,7763,2
"J41qe-TM1DY",10,5320719,914372,2267,110935,2
"aj8mN_7Apcw",1,5224475,43004,6229,13915,2
"OrnpSe4OChM",23,5221478,154959,3802,11225,1
"4uTNVumfm84",10,5163583,279834,5231,14956,1
"J1L3nDC4mEk",10,5146572,459560,9306,53169,3
"Pk7viRZXOAw",10,5024861,65998,2869,6370,4
"CUEH-vTUHcQ",24,4977158,79657,2302,11973,4
"eNk12DW41js",24,4966511,17404,2744,2190,2
"nPeYAsLYALA",24,4885184,16302,3211,2890,2
"ntWSnDV0MYs",10,4858482,198185,10589,16940,5
"yxFMsSe-7CE",24,4848232,25882,4317,1828,3
"qQTVuRrZO8w",22,4786662,186937,1667,19300,4
"DdLYSziSXII",10,4770836,309032,15271,27479,2
"hbEQ568X8U0",24,4754601,19230,2250,5271,3
"tR6M8FjHnvE",23,4719554,18080,3478,2586,1
"zi_6oaQyckM",10,4636300,323468,16477,20512,2
"1ZAPwfrtAFY",24,4632016,131784,9892,18284,2
"vjSohj-Iclc",28,4624285,66880,2108,10484,2
"51JIo0eQhHI",24,4602248,18525,3051,2860,1
"jzD_yyEcp0M",10,4588916,317747,4886,25041,1
"o4_tHTmniw4",10,4540883,299089,6494,36873,3
"ZNkYsvrVSnQ",24,4523438,26283,5488,2519,3
"Xj2vYAq-bwY",17,4510182,15426,1842,6190,3
"vecSVX1QYbQ",10,4475534,394820,3282,46685,3
"7dGwk5-QMpc",10,4473845,625458,2384,57365,2
"GjDK_6NtYGQ",26,4466616,35671,4301,2657,1
"of4AOzrI7Xc",28,4434682,2460,63,566,6
"xmupkoVfUnQ",17,4429364,31434,1823,2750,2
"BJpLh9TyaEc",10,4373846,23523,4208,1536,3
"acllEsTUYAU",24,4367075,15997,3231,45,1
"_y2-Aj53sxw",17,4355331,25116,1334,2101,1
"LgmxMuW6Fsc",10,4351979,61248,3437,4476,3
"r7ZSj8IbIqA",24,4328925,17652,2948,2713,2
"Pkh8EVkJJBs",17,4304339,33959,2347,726,3
"8BAhwgjMvnM",1,4288892,63413,5114,10808,1
"vcqImqOVE2U",10,4279520,168779,10993,15563,5
"_ahENVItQj4",24,4265491,18677,3078,5447,3
"Ws2GusRt5IY",26,4207703,38358,3605,1657,3
"jmCSYUzU3IM",24,4193213,20226,2633,4232,1
"jSqHotawH2M",10,4129197,118339,995,14383,5
"mXRinQW3TiY",22,4122938,13847,3623,457,2
"vkOt4zmxHhQ",24,4116793,13731,2292,2316,1
"KYqXrCigcAU",24,4095892,18665,2236,3509,3
"G_tp8d_sJCw",23,4072092,19263,2038,3981,2
"ZsEiE_eFX7Q",10,4057831,8067,1369,1416,2
"s_5-eID-U-g",10,4057309,128471,2160,4402,2
"iAtFifxkrBk",24,4031289,17486,2137,4564,3
"J0REYqmmPAI",24,4017440,16144,1908,4575,3
"H1sXXqBDydk",1,4015939,27792,2003,4830,7
"FhrS86odbxg",26,4014544,55491,3085,1579,1
