"video_id","category_id","views","likes","dislikes","comment_count","daily_trending_appearances"
"FlsCjmMhFmw",24,100912384,2656698,1353667,682890,4
"6ZfuNTqbHE8",24,74789251,2444976,46173,330715,4
"7C2z4GqqS5E",10,62796390,4470923,119053,905925,3
"_I_D_8Z4sJE",10,50896717,550478,20865,23521,4
"#NAME?",10,44726356,575878,48583,28152,516
"BhIEIO0vaBE",22,40801423,0,0,0,3
"u9Mv98Gr5pY",24,39128403,1077733,35764,119671,3
"TyHvyGVs42U",10,38647842,1600413,68558,91409,4
"QwievZ1Tx-8",24,36112519,1355014,22416,170807,3
"J6-8DQALGt4",24,34448035,100710,2822,6986,1
"kLpH1nSLJSs",10,32880238,1497630,49372,90246,4
"xTlNMmZKwpA",10,32523416,1219791,61459,76612,4
"LsoLEjrDogU",10,31680160,1510636,49497,109426,4
"VYOjWnS4cMY",10,31648454,1405409,51550,149478,3
"dfnCAmr569k",10,29743367,1574088,84551,135825,3
"vn9mMeWcgoM",24,29484180,502665,24722,64761,3
"wfWkmURBNv8",10,27204402,663989,37636,35821,3
"aJOTlE1K90k",10,25497666,1547857,23176,98464,4
"ffxKSjUwKdU",10,25066682,1689642,54936,164611,3
"9TRjE7i0ERY",10,24609765,229973,8710,7869,4
"tCXGJQYZ9JA",10,24262331,1249421,64943,121243,3
"9TUBf6l7FBg",10,24004779,0,0,3,3
"yDiXQl7grPQ",28,23789688,393116,20520,122349,3
"8-mloCL49vs",10,23291675,281529,16377,14820,3
"Ck4xHocysLw",10,23123517,398511,13025,16357,3
"liczsmUSMA4",10,21836024,700179,55803,63007,3
"wzbik17wFVw",25,21716633,0,0,0,3
"FVRPzwb1Vi4",10,21300729,531544,49929,31389,4
"kTlv5_Bs8aw",10,20573162,2320666,33228,477215,2
"sGIm0-dQd8M",10,19687431,467428,15859,30151,4
"D86RtevtfrA",1,19336751,442167,8138,25969,2
"zEf423kYfqk",10,19259963,623789,53529,42784,3
"qS6F64mj6LY",10,18161484,975306,39757,53373,3
"DPxL7dO5XPc",10,17607193,1152824,71315,132489,2
"VRJmcxCrAOA",17,17228602,784298,9287,41999,3
"xpVfcZ0ZcFM",10,17059675,1431565,12851,100523,2
"9jI-z9QN6g8",10,16995160,617990,17299,22674,1
"J2HytHu5VBI",22,16884972,1366795,59932,237907,1
"iWZmdoY1aTE",10,16809675,945906,20400,53440,3
"wbSwFU6tY1c",28,16806832,338794,9761,36160,3
"zkG4Xpz6t68",10,15924122,542011,98637,67599,3
"gu9_m0vm7fM",10,15834441,446961,49804,38189,3
"oWjxSkJpxFU",29,15808339,1625422,334553,561506,2
"BQ31l1gPGKM",10,15474680,320810,10778,17685,3
"SM1w9PEQOE8",10,15463329,999803,18452,53752,3
"lkfpqGWzHCE",28,15316016,37245,30747,0,1
