"video_id","category_id","views","likes","dislikes","comment_count","daily_trending_appearances"
"7C2z4GqqS5E",10,62796390,4470923,119053,905925,3
"FlsCjmMhFmw",24,52611730,1891836,884967,702790,2
"BhIEIO0vaBE",22,35832484,0,0,0,2
"VYOjWnS4cMY",10,31648454,1405392,51548,149478,3
"u9Mv98Gr5pY",24,27973210,850378,26543,96767,2
"tCXGJQYZ9JA",10,24262331,1249412,64943,121243,3
"dfnCAmr569k",10,23198594,1404648,72534,125744,2
"kTlv5_Bs8aw",10,20565795,2320662,33228,477215,2
"84LBjXaeKk4",24,19424479,169615,333253,83394,3
"rRr1qiJRsXk",24,18639195,511788,15607,32435,1
"DPxL7dO5XPc",10,17607193,1152815,71313,132489,2
"aJOTlE1K90k",10,17303018,1207701,17464,80347,3
"xpVfcZ0ZcFM",10,17059675,1431557,12850,100523,2
"wbSwFU6tY1c",28,16806832,338792,9761,36160,3
"TIE92mUvSsw",1,15969920,308382,36675,33624,1
"ffxKSjUwKdU",10,15873773,1386666,40715,141624,2
"lkfpqGWzHCE",28,15316016,37245,30747,0,2
"Sl9npEDYeLk",24,15066347,404979,15333,33366,1
"yDiXQl7grPQ",28,15006579,278752,13601,89194,2
"pVxOVlm_lE8",24,12908071,290084,5326,26854,3
"LsoLEjrDogU",10,12882641,925703,24981,70909,1
"VY1eFxgRR-k",10,11881651,854247,25293,53600,2
"Wpm07-BGJnE",10,11310513,512895,48000,65151,2
"UceaB4D0jpo",10,11202281,686145,17999,68980,3
"9TUBf6l7FBg",10,11137071,0,0,2,2
"rRzxEiBLQCA",10,11028219,652347,51053,105487,1
"HfRZ67HSDdA",10,11026129,457223,216947,59106,3
"IAuzNXGmkL4",10,11008165,422030,93605,47100,3
"g4Hbz2jLxvQ",24,10997686,336023,13271,35648,2
"qZHycHI3F1Q",17,10929365,508112,6326,47234,2
"baODA54mAtc",1,10699657,5194,3398,182,1
"p8npDG2ulKQ",10,10666323,1956259,13967,285606,1
