"video_id","category_id","views","likes","dislikes","comment_count","daily_trending_appearances"
"VYOjWnS4cMY",10,225211923,5023450,343541,517232,25
"FlsCjmMhFmw",24,149376127,3093544,1643059,810698,8
"ffxKSjUwKdU",10,148689896,3094021,129502,242039,20
"zEf423kYfqk",10,139334502,1425496,119798,83941,20
"7C2z4GqqS5E",10,123010920,5613827,206892,1228655,14
"M4ZoCHID9GI",10,122544931,1427436,40837,55320,19
"TyHvyGVs42U",10,102012605,2376636,117196,134224,10
"xTlNMmZKwpA",10,94254507,1816753,102474,101077,16
"6ZfuNTqbHE8",24,91933007,2625661,53709,350458,9
"-BQJo3vK8O8",10,87264467,815369,71494,35945,11
"tCXGJQYZ9JA",10,71560694,1928392,113990,162990,15
"DkeiKbqa02g",10,71017021,828626,36928,26279,21
"i0p1bmr0EmE",10,69295519,1324609,118647,238744,14
"aJOTlE1K90k",10,66529577,2488565,43464,142410,10
"U9BwWKXjVaI",10,60635812,994986,34165,55653,14
"vjI4Alon-3Q",10,59877217,853193,61049,48391,21
"u9Mv98Gr5pY",24,59254638,1295189,47162,139879,19
"LsoLEjrDogU",10,57951412,1919583,73239,133601,7
"BhIEIO0vaBE",22,56111957,0,0,0,10
"iWZmdoY1aTE",10,55054077,1378923,33465,67092,17
"ulNswX3If6U",1,54863912,922355,18037,41774,28
"_9YMpuLDnwo",26,54155921,378111,66632,24679,8
"QwievZ1Tx-8",24,52404970,1565579,32705,194290,13
"rRr1qiJRsXk",24,48654951,811144,33051,48941,18
"l_lblj8Cq0o",10,45938392,728696,43049,43541,13
"dfnCAmr569k",10,45141770,1844959,102849,148768,7
"J-dv_DcDD_A",10,44782227,1320316,33742,85709,17
"2Vv-BfVoq4g",10,43449654,1788960,24548,93428,3
"yDiXQl7grPQ",28,42799458,564804,33554,180913,15
"oWw1BcFhk-k",10,42390420,554509,18381,21650,20
"n_W54baizX8",10,41803845,628861,42833,39363,25
"rsEne1ZiQrk",10,41604561,670203,15663,26743,15
"LryQJ25CnKU",10,41446137,502519,78095,36974,15
"rRzxEiBLQCA",10,41088994,956937,91898,157207,6
"1J76wN0TPI4",24,40714581,778513,30866,76944,14
"QgOXIEhHU1Y",10,40087764,835657,25283,38305,23
"vn9mMeWcgoM",24,38070298,550348,27824,50935,7
"QwZT7T-TXT0",24,37539570,1402578,1674420,1361580,7
"kTlv5_Bs8aw",10,36857298,2729292,47896,546100,7
