"CategoryID","Category"
1,"Film & Animation"
2,"Autos & Vehicles"
3,"Music"
4,"Pets & Animals"
5,"Sports"
6,"Short Movies"
7,"Travel & Events"
8,"Gaming"
9,"Videoblogging"
10,"People & Blogs"
11,"Comedy"
12,"Entertainment"
13,"News & Politics"
14,"Howto & Style"
15,"Education"
16,"Science & Technology"
17,"Nonprofits & Activism"
18,"Movies"
19,"Anime/Animation"
20,"Action/Adventure"
21,"Classics"
22,"Comedy"
23,"Documentary"
24,"Drama"
25,"Family"
26,"Foreign"
27,"Horror"
28,"Sci-Fi/Fantasy"
29,"Thriller"
30,"Shorts"
31,"Shows"
32,"Trailers"
